,play_E_Base,play_E_KDLD,Difference,Difference Value
Resource,49436.90533,48364.7362,1072.16913,P
P.bolini,33.90482,32.96235,0.94247,P
K.anderssoni,55.56354,53.30323,2.26031,P
C.microdon,1424.82853,1420.87746,3.95107,P
G.fraseri,126.81369,125.69493,1.11876,P
E.carlsbergi,111.27265,108.89926,2.37339,P
G.braueri,6024.85091,5993.13006,31.72085,P
E.antarctica,1079.814,1064.31594,15.49806,P
B.antarcticus,7910.32558,7895.47374,14.85184,P
N.achirus,13147.40729,13148.66138,-1.25409,N
G.nicholsi,3223.18732,3210.98956,12.19776,P
P.antarcticum,39388.93889,39629.1428,-240.20391,N
N.coatsi,1810.4252,1823.00126,-12.57606,N
C.piriei,2046.56872,2062.32668,-15.75796,N
P.gracilis,2138.67019,2155.75253,-17.08234,N
C.gunnari,282.62652,284.92219,-2.29567,N
D.eleginoides,16.7177,16.83942,-0.12172,N
D.mawsoni,10.04476,10.11448,-0.06972,N