,play_G_Base,play_G_KDLD,Difference,Difference Value
Resource,1.83E+04,1.81E+04,2.57E+02,P
P.bolini,4.75E+01,4.70E+01,5.07E-01,P
K.anderssoni,4.93E+01,4.81E+01,1.15E+00,P
C.microdon,4.24E+01,4.31E+01,-7.04E-01,N
G.fraseri,1.60E+02,1.61E+02,-1.45E+00,N
E.carlsbergi,9.56E+01,9.52E+01,3.63E-01,P
G.braueri,1.71E+02,1.73E+02,-2.07E+00,N
E.antarctica,4.71E+02,4.70E+02,1.81E+00,P
B.antarcticus,1.01E+02,1.03E+02,-1.54E+00,N
N.achirus,3.62E+02,3.69E+02,-6.58E+00,N
G.nicholsi,8.85E+02,8.95E+02,-9.62E+00,N
P.antarcticum,3.75E+03,3.85E+03,-9.44E+01,N
N.coatsi,4.84E+00,4.97E+00,-1.33E-01,N
C.piriei,2.48E-01,2.55E-01,-6.89E-03,N
P.gracilis,6.18E-01,6.35E-01,-1.75E-02,N
C.gunnari,2.45E-01,2.51E-01,-6.10E-03,N
D.eleginoides,1.25E-03,1.28E-03,-3.40E-05,N
D.mawsoni,6.60E-04,6.79E-04,-1.91E-05,N