,play_M_Base,play_M_KDLD,Difference,Difference Value
Resource,82227.58969,80347.60892,1879.98077,P
P.bolini,96.17515,93.39064,2.78451,P
K.anderssoni,168.32582,161.28704,7.03878,P
C.microdon,1279.96341,1274.55593,5.40748,P
G.fraseri,462.25927,457.49322,4.76605,P
E.carlsbergi,364.14001,355.80878,8.33123,P
G.braueri,12437.08997,12350.72689,86.36308,P
E.antarctica,3517.66834,3462.28456,55.38378,P
B.antarcticus,8035.38448,8006.62496,28.75952,P
N.achirus,40893.95239,40826.50219,67.4502,P
G.nicholsi,10959.66556,10900.71971,58.94585,P
P.antarcticum,144187.4737,144806.7597,-619.28605,N
N.coatsi,7139.21107,7176.08725,-36.87618,N
C.piriei,2446.63484,2461.21339,-14.57855,N
P.gracilis,4607.18516,4635.96892,-28.78376,N
C.gunnari,1298.09468,1306.48335,-8.38867,N
D.eleginoides,179.62465,180.7131,-1.08845,N
D.mawsoni,18.4696,18.57578,-0.10618,N