,play_M_Base,play_M_KDLI,Difference,Difference Value
Resource,82227.58969,78826.27731,3401.31238,P
P.bolini,96.17515,97.81993,-1.64478,N
K.anderssoni,168.32582,170.71302,-2.3872,N
C.microdon,1279.96341,1301.74206,-21.77865,N
G.fraseri,462.25927,469.4064,-7.14713,N
E.carlsbergi,364.14001,368.67779,-4.53778,N
G.braueri,12437.08997,12567.6304,-130.54043,N
E.antarctica,3517.66834,3552.68778,-35.01944,N
B.antarcticus,8035.38448,8120.14465,-84.76017,N
N.achirus,40893.95239,41281.53978,-387.58739,N
G.nicholsi,10959.66556,11061.3025,-101.63694,N
P.antarcticum,144187.4737,145374.2045,-1186.7308,N
N.coatsi,7139.21107,7185.45006,-46.23899,N
C.piriei,2446.63484,2461.35234,-14.7175,N
P.gracilis,4607.18516,4634.32811,-27.14295,N
C.gunnari,1298.09468,1305.88169,-7.78701,N
D.eleginoides,179.62465,180.45104,-0.82639,N
D.mawsoni,18.4696,18.55074,-0.08114,N