,play_G_Base,play_G_KILD,Difference,Difference Value
Resource,1.83E+04,1.86E+04,-2.98E+02,N
P.bolini,4.75E+01,4.61E+01,1.43E+00,P
K.anderssoni,4.93E+01,4.79E+01,1.36E+00,P
C.microdon,4.24E+01,4.10E+01,1.34E+00,P
G.fraseri,1.60E+02,1.55E+02,4.99E+00,P
E.carlsbergi,9.56E+01,9.28E+01,2.83E+00,P
G.braueri,1.71E+02,1.65E+02,5.10E+00,P
E.antarctica,4.71E+02,4.58E+02,1.34E+01,P
B.antarcticus,1.01E+02,9.83E+01,3.06E+00,P
N.achirus,3.62E+02,3.51E+02,1.09E+01,P
G.nicholsi,8.85E+02,8.59E+02,2.61E+01,P
P.antarcticum,3.75E+03,3.64E+03,1.15E+02,P
N.coatsi,4.84E+00,4.69E+00,1.45E-01,P
C.piriei,2.48E-01,2.40E-01,7.33E-03,P
P.gracilis,6.18E-01,6.00E-01,1.82E-02,P
C.gunnari,2.45E-01,2.38E-01,7.26E-03,P
D.eleginoides,1.25E-03,1.21E-03,3.89E-05,P
D.mawsoni,6.60E-04,6.39E-04,2.11E-05,P