,play_G_Base,play_G_KILI,Difference,Difference Value
Resource,1.83E+04,1.86E+04,-2.38E+02,N
P.bolini,4.75E+01,4.79E+01,-3.57E-01,N
K.anderssoni,4.93E+01,5.03E+01,-9.67E-01,N
C.microdon,4.24E+01,4.17E+01,7.03E-01,P
G.fraseri,1.60E+02,1.58E+02,1.58E+00,P
E.carlsbergi,9.56E+01,9.58E+01,-1.74E-01,N
G.braueri,1.71E+02,1.69E+02,2.07E+00,P
E.antarctica,4.71E+02,4.73E+02,-1.32E+00,N
B.antarcticus,1.01E+02,9.99E+01,1.50E+00,P
N.achirus,3.62E+02,3.56E+02,6.31E+00,P
G.nicholsi,8.85E+02,8.76E+02,9.51E+00,P
P.antarcticum,3.75E+03,3.67E+03,8.78E+01,P
N.coatsi,4.84E+00,4.71E+00,1.23E-01,P
C.piriei,2.48E-01,2.41E-01,6.34E-03,P
P.gracilis,6.18E-01,6.02E-01,1.61E-02,P
C.gunnari,2.45E-01,2.40E-01,5.66E-03,P
D.eleginoides,1.25E-03,1.22E-03,3.15E-05,P
D.mawsoni,6.60E-04,6.43E-04,1.77E-05,P