,play_G_Base,play_G_KI,Difference ,Difference Value
Resource,1.83E+04,1.86E+04,-2.81E+02,N
P.bolini,4.75E+01,4.66E+01,9.25E-01,P
K.anderssoni,4.93E+01,4.86E+01,7.36E-01,P
C.microdon,4.24E+01,4.12E+01,1.12E+00,P
G.fraseri,1.60E+02,1.56E+02,3.99E+00,P
E.carlsbergi,9.56E+01,9.35E+01,2.06E+00,P
G.braueri,1.71E+02,1.66E+02,4.33E+00,P
E.antarctica,4.71E+02,4.61E+02,1.03E+01,P
B.antarcticus,1.01E+02,9.87E+01,2.66E+00,P
N.achirus,3.62E+02,3.53E+02,9.55E+00,P
G.nicholsi,8.85E+02,8.63E+02,2.20E+01,P
P.antarcticum,3.75E+03,3.65E+03,1.04E+02,P
N.coatsi,4.84E+00,4.71E+00,1.32E-01,P
C.piriei,2.48E-01,2.41E-01,6.68E-03,P
P.gracilis,6.18E-01,6.01E-01,1.65E-02,P
C.gunnari,2.45E-01,2.39E-01,6.50E-03,P
D.eleginoides,1.25E-03,1.22E-03,3.47E-05,P
D.mawsoni,6.60E-04,6.42E-04,1.84E-05,P