,play_G_Base,play_G_LD,Difference,Difference Value
Resource,1.83E+04,1.84E+04,-1.64E+01,N
P.bolini,4.75E+01,4.70E+01,5.30E-01,P
K.anderssoni,4.93E+01,4.86E+01,6.54E-01,P
C.microdon,4.24E+01,4.21E+01,2.36E-01,P
G.fraseri,1.60E+02,1.59E+02,1.05E+00,P
E.carlsbergi,9.56E+01,9.48E+01,7.98E-01,P
G.braueri,1.71E+02,1.70E+02,7.98E-01,P
E.antarctica,4.71E+02,4.68E+02,3.25E+00,P
B.antarcticus,1.01E+02,1.01E+02,4.07E-01,P
N.achirus,3.62E+02,3.61E+02,1.36E+00,P
G.nicholsi,8.85E+02,8.81E+02,4.21E+00,P
P.antarcticum,3.75E+03,3.74E+03,1.03E+01,P
N.coatsi,4.84E+00,4.82E+00,1.29E-02,P
C.piriei,2.48E-01,2.47E-01,6.49E-04,P
P.gracilis,6.18E-01,6.16E-01,1.64E-03,P
C.gunnari,2.45E-01,2.45E-01,7.60E-04,P
D.eleginoides,1.25E-03,1.25E-03,4.27E-06,P
D.mawsoni,6.60E-04,6.57E-04,2.82E-06,P