name,w,total_n
KI,4.19,0.0028976229270069
KI,5.07,0.00296592769215051
KI,6.12,0.00186540941207974
KI,7.4,0.00110513792936184
KI,8.94,0.000925365523447194
KI,10.8,0.000572792556402265
KI,13,0.000495820871681678
KI,15.8,0.000472400548206205
KI,19,0.000433971132461129
KI,23,0.000370161926840472
KI,27.8,0.000290243100803386
KI,33.6,0.000175173168341842
KI,40.6,0.000129793593839863
KI,49,0.000118750849807447
KI,59.3,5.37294001111424e-05
KI,71.6,3.23983702225574e-05
KI,86.5,2.93518299814378e-05
KI,105,2.68348908264278e-05
KI,126,2.49271574683772e-05
KI,153,2.39858316890982e-05
KI,184,1.7173084141238e-05
KI,223,1.68865391422789e-08
KI,269,1.64907739631372e-08
KI,325,1.65719043215013e-08
KI,393,1.74798840272501e-08
KI,475,2.03625146242542e-08
KI,574,3.25830641640206e-08
KI,693,4.90825621212107e-08
KI,838,4.78559197648826e-09
KI,1010,5.33108057456579e-09
KI,1220,6.97528502885755e-09
KI,1480,1.21959209264487e-08
KI,1780,7.81414005315913e-09
KI,2160,1.14840742162998e-09
KI,2610,2.09101877552833e-09
KI,3150,1.90638702247761e-12
KI,3800,1.69160065748761e-12
KI,4600,1.50237308881303e-12
KI,5550,1.33582008357919e-12
KI,6710,1.19030604959035e-12
KI,8110,1.06997194766885e-12
KI,9800,1.01016464988649e-12
KI,11800,1.15274444135326e-12
KI,14300,1.54073153149824e-12
KI,17300,1.7722989382852e-12
KI,20900,1.81332865925845e-12
KI,25200,1.81608377390965e-12
KI,30500,1.84243433992275e-12
KI,36800,1.92132387010616e-12
KI,44500,2.1031163428377e-12
KI,53800,2.61671481972897e-12
KI,65000,5.12169199831777e-13
KI,78500,6.23280632036097e-13
KI,94800,1.63142387624628e-12
KI_LD,0.000697,9.16904389308563e-06
KI_LD,0.000842,1.01410453026446
KI_LD,0.00102,0.892039370178155
KI_LD,0.00123,0.784447791198336
KI_LD,0.00149,0.689618038061392
KI_LD,0.00179,0.606040781818955
KI_LD,0.00217,0.532385276979955
KI_LD,0.00262,0.467478326171507
KI_LD,0.00317,0.433054329497654
KI_LD,0.00382,0.417185590252108
KI_LD,0.00462,0.36575418108536
KI_LD,0.00558,0.320453705874957
KI_LD,0.00675,0.280561602407174
KI_LD,0.00815,0.245441088110668
KI_LD,0.00985,0.214530974592351
KI_LD,0.0119,0.187336667650755
KI_LD,0.0144,0.163422213484403
KI_LD,0.0174,0.142403269166504
KI_LD,0.021,0.123941272687066
KI_LD,0.0254,0.107736382812061
KI_LD,0.0306,0.0935250800170154
KI_LD,0.037,0.0810742254963834
KI_LD,0.0447,0.0701779219179076
KI_LD,0.0541,0.0606551416929252
KI_LD,0.0653,0.0523525738789549
KI_LD,0.0789,0.0451732248809521
KI_LD,0.0954,0.0391545154239941
KI_LD,0.115,0.03413939371228
KI_LD,0.139,0.0295540905133469
KI_LD,0.168,0.0254249036655267
KI_LD,0.203,0.0218217607273979
KI_LD,0.246,0.018706547506635
KI_LD,0.297,0.0160219969026339
KI_LD,0.358,0.0137139538038893
KI_LD,0.433,0.0117357235060631
KI_LD,0.523,0.0100558691289754
KI_LD,0.632,0.00869040955593861
KI_LD,0.764,0.00768626073764693
KI_LD,0.923,0.00679402885594565
KI_LD,1.12,0.00588369050599122
KI_LD,1.35,0.00509857382031949
KI_LD,1.63,0.0045783896996582
KI_LD,1.97,0.0043580358611591
KI_LD,2.38,0.00410691872636545
KI_LD,2.87,0.00383398469675894
KI_LD,3.47,0.00344226993999015
KI_LD,4.19,0.00287356756750124
KI_LD,5.07,0.00294602408356845
KI_LD,6.12,0.00185319614306136
KI_LD,7.4,0.00109759679900221
KI_LD,8.94,0.000919682404864916
KI_LD,10.8,0.0005693873528195
KI_LD,13,0.000493425073332056
KI_LD,15.8,0.00047062434653129
KI_LD,19,0.000432661068701024
KI_LD,23,0.000369235389834813
KI_LD,27.8,0.000289630225208281
KI_LD,33.6,0.000174849614170726
KI_LD,40.6,0.000129589976774333
KI_LD,49,0.000118596489462944
KI_LD,59.3,5.36675254569447e-05
KI_LD,71.6,3.23661725839661e-05
KI_LD,86.5,2.93271598624412e-05
KI_LD,105,2.68160109808255e-05
KI_LD,126,2.49127064915533e-05
KI_LD,153,2.39746248781337e-05
KI_LD,184,1.71665278903092e-05
KI_LD,223,1.68548483552459e-08
KI_LD,269,1.64680504058641e-08
KI_LD,325,1.65555874829052e-08
KI_LD,393,1.74680772495729e-08
KI_LD,475,2.03538356805929e-08
KI_LD,574,3.25760932440979e-08
KI_LD,693,4.90773271421781e-08
KI_LD,838,4.78470706446691e-09
KI_LD,1010,5.33060816391039e-09
KI_LD,1220,6.97523171922575e-09
KI_LD,1480,1.21965805346132e-08
KI_LD,1780,7.8148014235359e-09
KI_LD,2160,1.14843398685505e-09
KI_LD,2610,2.09109290687624e-09
KI_LD,3150,1.90590905772355e-12
KI_LD,3800,1.69126465150924e-12
KI_LD,4600,1.50214424667134e-12
KI_LD,5550,1.33567144193066e-12
KI_LD,6710,1.19021666391463e-12
KI_LD,8110,1.06992565359375e-12
KI_LD,9800,1.01015003054189e-12
KI_LD,11800,1.15275983810142e-12
KI_LD,14300,1.54078456095006e-12
KI_LD,17300,1.77237549248665e-12
KI_LD,20900,1.8134114408479e-12
KI_LD,25200,1.81616701206268e-12
KI_LD,30500,1.84251665850452e-12
KI_LD,36800,1.92140558885366e-12
KI_LD,44500,2.10319994598084e-12
KI_LD,53800,2.61681112038886e-12
KI_LD,65000,5.12180121211629e-13
KI_LD,78500,6.23290010725439e-13
KI_LD,94800,1.63144246566349e-12
KI_LI,0.000697,8.86897783881927e-06
KI_LI,0.000842,0.980434668407561
KI_LI,0.00102,0.862937169303974
KI_LI,0.00123,0.759319571026953
KI_LI,0.00149,0.667946145391792
KI_LI,0.00179,0.587373906926741
KI_LI,0.00217,0.516329987990804
KI_LI,0.00262,0.45369166958986
KI_LI,0.00317,0.420515945519742
KI_LI,0.00382,0.405355732548709
KI_LI,0.00462,0.35565690259109
KI_LI,0.00558,0.311857556210797
KI_LI,0.00675,0.273264725548898
KI_LI,0.00815,0.239267418972607
KI_LI,0.00985,0.209326927207514
KI_LI,0.0119,0.182968254363341
KI_LI,0.0144,0.15977254204722
KI_LI,0.0174,0.139370371092753
KI_LI,0.021,0.12143621236826
KI_LI,0.0254,0.105681659094206
KI_LI,0.0306,0.0918531881432838
KI_LI,0.037,0.0797264521979737
KI_LI,0.0447,0.0691032897010764
KI_LI,0.0541,0.0598094723141174
KI_LI,0.0653,0.0516975502777613
KI_LI,0.0789,0.0446749422149704
KI_LI,0.0954,0.0387807156944208
KI_LI,0.115,0.0338634688513699
KI_LI,0.139,0.0293620104903998
KI_LI,0.168,0.0253028995975599
KI_LI,0.203,0.0217558381937286
KI_LI,0.246,0.0186844627711703
KI_LI,0.297,0.0160334373656006
KI_LI,0.358,0.013750339655161
KI_LI,0.433,0.0117900233635952
KI_LI,0.523,0.0101226454475788
KI_LI,0.632,0.00876688335532029
KI_LI,0.764,0.00777409920207327
KI_LI,0.923,0.0068913125808594
KI_LI,1.12,0.0059837768147335
KI_LI,1.35,0.00519896027938001
KI_LI,1.63,0.00468304387465501
KI_LI,1.97,0.00447586277090876
KI_LI,2.38,0.00422999709752873
KI_LI,2.87,0.00394922293825298
KI_LI,3.47,0.00354316602982392
KI_LI,4.19,0.00295495301005073
KI_LI,5.07,0.00302495423912968
KI_LI,6.12,0.00190547003904974
KI_LI,7.4,0.00113195831256777
KI_LI,8.94,0.000947267873503733
KI_LI,10.8,0.000586812098507004
KI_LI,13,0.000507113673474168
KI_LI,15.8,0.000481360401733783
KI_LI,19,0.000440623033620282
KI_LI,23,0.000374850243096454
KI_LI,27.8,0.000293344360408096
KI_LI,33.6,0.000176816781881775
KI_LI,40.6,0.000130813120105053
KI_LI,49,0.000119514465451569
KI_LI,59.3,5.40243940610613e-05
KI_LI,71.6,3.25445391226117e-05
KI_LI,86.5,2.94653170026522e-05
KI_LI,105,2.6925642533416e-05
KI_LI,126,2.50016765949026e-05
KI_LI,153,2.40495129625491e-05
KI_LI,184,1.72143758554753e-05
KI_LI,223,1.69696314732462e-08
KI_LI,269,1.65722996409403e-08
KI_LI,325,1.66444397272042e-08
KI_LI,393,1.75409263854864e-08
KI_LI,475,2.04153974191861e-08
KI_LI,574,3.26430840219032e-08
KI_LI,693,4.91544793068663e-08
KI_LI,838,4.79294445618649e-09
KI_LI,1010,5.33756734951621e-09
KI_LI,1220,6.98214519481684e-09
KI_LI,1480,1.22061264885416e-08
KI_LI,1780,7.81964470046737e-09
KI_LI,2160,1.14897233099621e-09
KI_LI,2610,2.09180889383846e-09
KI_LI,3150,1.90838899358826e-12
KI_LI,3800,1.69304545382499e-12
KI_LI,4600,1.50341676787331e-12
KI_LI,5550,1.33658221572208e-12
KI_LI,6710,1.19087353888619e-12
KI_LI,8110,1.07040666846918e-12
KI_LI,9800,1.01051866344228e-12
KI_LI,11800,1.15309325014736e-12
KI_LI,14300,1.54114274478135e-12
KI_LI,17300,1.77271335337685e-12
KI_LI,20900,1.81369259103139e-12
KI_LI,25200,1.81640675756555e-12
KI_LI,30500,1.84273823326489e-12
KI_LI,36800,1.92162783884183e-12
KI_LI,44500,2.10344325643049e-12
KI_LI,53800,2.61712438048109e-12
KI_LI,65000,5.12214466330887e-13
KI_LI,78500,6.23330326584291e-13
KI_LI,94800,1.6315636999282e-12
LD,0.000697,9.23590447086047e-06
LD,0.000842,1.02085904735658
LD,0.00102,0.897943208152328
LD,0.00123,0.789601516936155
LD,0.00149,0.694110225590667
LD,0.00179,0.609949459182733
LD,0.00217,0.535779204011348
LD,0.00262,0.470418122999321
LD,0.00317,0.43576014459769
LD,0.00382,0.419753761603517
LD,0.00462,0.367955905553067
LD,0.00558,0.32233256659656
LD,0.00675,0.282156232451876
LD,0.00815,0.246785786473829
LD,0.00985,0.215656244673051
LD,0.0119,0.188269686031762
LD,0.0144,0.164187235877247
LD,0.0174,0.143021979620995
LD,0.021,0.124433084325982
LD,0.0254,0.108118681364244
LD,0.0306,0.0938134441262142
LD,0.037,0.0812825995561928
LD,0.0447,0.0703187636442449
LD,0.0541,0.0607395518161959
LD,0.0653,0.0523904411647092
LD,0.0789,0.0451735266034861
LD,0.0954,0.0391259945631184
LD,0.115,0.0340893813301433
LD,0.139,0.0294865554048746
LD,0.168,0.0253438500283366
LD,0.203,0.0217313265606674
LD,0.246,0.0186104260150232
LD,0.297,0.015923362104105
LD,0.358,0.0136154868963095
LD,0.433,0.0116396142463568
LD,0.523,0.00996364806920511
LD,0.632,0.00860203475102924
LD,0.764,0.00759902984144253
LD,0.923,0.00670914216704244
LD,1.12,0.00580582406174331
LD,1.35,0.00502905768273601
LD,1.63,0.00451494770845609
LD,1.97,0.00429782404675836
LD,2.38,0.00405304051392949
LD,2.87,0.00378775141444342
LD,3.47,0.00340472108652593
LD,4.19,0.00284582493397645
LD,5.07,0.00292183104413338
LD,6.12,0.00183781758917433
LD,7.4,0.0010881069706339
LD,8.94,0.000912266484887673
LD,10.8,0.000565002684963618
LD,13,0.000490207610750124
LD,15.8,0.000468021111595308
LD,19,0.000430581350445461
LD,23,0.000367657925643784
LD,27.8,0.00028851811643713
LD,33.6,0.0001742709703402
LD,40.6,0.000129209391294369
LD,49,0.000118273458942707
LD,59.3,5.35504601425928e-05
LD,71.6,3.23103042699022e-05
LD,86.5,2.92788554487528e-05
LD,105,2.67736582914641e-05
LD,126,2.48748498405718e-05
LD,153,2.39394904648019e-05
LD,184,1.71421521651847e-05
LD,223,1.6831844458891e-08
LD,269,1.64472376058543e-08
LD,325,1.6536023387868e-08
LD,393,1.74485613696604e-08
LD,475,2.03320643418694e-08
LD,574,3.25421409260106e-08
LD,693,4.90275611916622e-08
LD,838,4.78117215809624e-09
LD,1010,5.32662549330589e-09
LD,1220,6.96986737479099e-09
LD,1480,1.21870528034261e-08
LD,1780,7.80923975960267e-09
LD,2160,1.14795207282013e-09
LD,2610,2.09034684156562e-09
LD,3150,1.90548747627823e-12
LD,3800,1.69085787646607e-12
LD,4600,1.50174847652454e-12
LD,5550,1.33528816735043e-12
LD,6710,1.18984940095449e-12
LD,8110,1.06957667525404e-12
LD,9800,1.00981141669207e-12
LD,11800,1.15238740265219e-12
LD,14300,1.54033358983559e-12
LD,17300,1.77190951852121e-12
LD,20900,1.81297896355092e-12
LD,25200,1.81576803541405e-12
LD,30500,1.84214240780971e-12
LD,36800,1.92104530752956e-12
LD,44500,2.10283589534341e-12
LD,53800,2.61638983592354e-12
LD,65000,5.12132055799759e-13
LD,78500,6.23245441416352e-13
LD,94800,1.63134140334866e-12
LI,0.000697,8.9202206093983e-06
LI,0.000842,0.984598101356893
LI,0.00102,0.866591537932977
LI,0.00123,0.762522834646398
LI,0.00149,0.670749579386379
LI,0.00179,0.589822880168073
LI,0.00217,0.518464653561921
LI,0.00262,0.455547578749263
LI,0.00317,0.422253674171303
LI,0.00382,0.407017931338521
LI,0.00462,0.357086872319593
LI,0.00558,0.313081760380381
LI,0.00675,0.274306727580023
LI,0.00815,0.240148238419265
LI,0.00985,0.210065353731365
LI,0.0119,0.183581123514403
LI,0.0144,0.160274976526461
LI,0.0174,0.139775990927042
LI,0.021,0.121757319499266
LI,0.0254,0.105929388006426
LI,0.0306,0.092037648996229
LI,0.037,0.079856844417202
LI,0.0447,0.0691880008870617
LI,0.0541,0.0598561637168778
LI,0.0653,0.0517132505099518
LI,0.0789,0.0446662622683418
LI,0.0954,0.0387543767247037
LI,0.115,0.0338252370661599
LI,0.139,0.0293148823599686
LI,0.168,0.0252498824336828
LI,0.203,0.0216999568989827
LI,0.246,0.0186281826263251
LI,0.297,0.0159785516937911
LI,0.358,0.0136979939445163
LI,0.433,0.0117407724465424
LI,0.523,0.0100764260645797
LI,0.632,0.00872245507673297
LI,0.764,0.00772822383965958
LI,0.923,0.00684295777626542
LI,1.12,0.00593419495283033
LI,1.35,0.00514765517379524
LI,1.63,0.00462637969157479
LI,1.97,0.00440523540119781
LI,2.38,0.00414915874692793
LI,2.87,0.00387045220053979
LI,3.47,0.00347127466797194
LI,4.19,0.00289437318862432
LI,5.07,0.0029621086326984
LI,6.12,0.00186252534880045
LI,7.4,0.0011033415786931
LI,8.94,0.000923764114278039
LI,10.8,0.000571883210719099
LI,13,0.000495058577556529
LI,15.8,0.000471631209081021
LI,19,0.000433252949222725
LI,23,0.000369552735335104
LI,27.8,0.000289774574305701
LI,33.6,0.000174934912200451
LI,40.6,0.000129628036461087
LI,49,0.000118591757081435
LI,59.3,5.36779917272794e-05
LI,71.6,3.23766690099595e-05
LI,86.5,2.93298229713353e-05
LI,105,2.68127560798291e-05
LI,126,2.49048519346648e-05
LI,153,2.3962823438088e-05
LI,184,1.7155839709704e-05
LI,223,1.68967087834018e-08
LI,269,1.64938999805415e-08
LI,325,1.65696443716257e-08
LI,393,1.74729753877716e-08
LI,475,2.03500899551049e-08
LI,574,3.25567606869848e-08
LI,693,4.90387345760171e-08
LI,838,4.78300115987179e-09
LI,1010,5.32760997472714e-09
LI,1220,6.97000393475807e-09
LI,1480,1.2185769313158e-08
LI,1780,7.807941835772e-09
LI,2160,1.14790124963251e-09
LI,2610,2.0902034603147e-09
LI,3150,1.90640832941368e-12
LI,3800,1.69149445847837e-12
LI,4600,1.50217265892263e-12
LI,5550,1.33555530146223e-12
LI,6710,1.19000212602954e-12
LI,8110,1.0696475290469e-12
LI,9800,1.00982294614379e-12
LI,11800,1.15234264307983e-12
LI,14300,1.54021900481942e-12
LI,17300,1.77175359718705e-12
LI,20900,1.81281435311958e-12
LI,25200,1.81560497034269e-12
LI,30500,1.84198302809546e-12
LI,36800,1.92088870036337e-12
LI,44500,2.10267717178333e-12
LI,53800,2.61620863597592e-12
LI,65000,5.12111454313956e-13
LI,78500,6.23227966952102e-13
LI,94800,1.63130745253732e-12
